name,short_description,genres,release_date,developer,publisher,overall_player_rating,release_year,overall_player_rating_normalized
Black Myth: Wukong,"black myth: wukong is an action rpg rooted in chinese mythology. you shall set out as the destined one to venture into the challenges and marvels ahead, to uncover the obscured truth beneath the veil of a glorious legend from the past.","['mythology', 'action rpg', 'action', 'rpg', 'souls-like', 'combat', 'story rich', 'singleplayer', 'drama', 'action-adventure', 'dark fantasy', 'atmospheric', 'adventure', '3d', 'fantasy', 'hack and slash', 'third person', 'difficult', 'music', 'violent']",2024-08-19,['Game Science'],['Game Science'],5.0,2024.0,1.0
Counter-Strike 2,"for over two decades, counter-strike has offered an elite competitive experience, one shaped by millions of players from across the globe. and now the next chapter in the cs story is about to begin. this is counter-strike 2.","['fps', 'shooter', 'multiplayer', 'competitive', 'action', 'team-based', 'esports', 'tactical', 'first-person', 'pvp', 'online co-op', 'co-op', 'strategy', 'military', 'war', 'difficult', 'trading', 'realistic', 'fast-paced', 'moddable']",2012-08-21,['Valve'],['Valve'],4.0,2012.0,0.8
"Warhammer 40,000: Space Marine 2",embody the superhuman skill and brutality of a space marine. unleash deadly abilities and devastating weaponry to obliterate the relentless tyranid swarms. defend the imperium in spectacular third-person action in solo or multiplayer modes.,"['warhammer 40k', 'action', 'third-person shooter', 'adventure', 'multiplayer', 'action-adventure', 'pve', 'co-op', 'third person', 'wargame', 'sci-fi', '3d', 'narration', 'fantasy', 'space', 'war', 'realistic', 'singleplayer', 'cinematic', 'futuristic']",2024-09-09,['Saber Interactive'],['Focus Entertainment'],4.0,2024.0,0.8
Cyberpunk 2077,"cyberpunk 2077 is an open-world, action-adventure rpg set in the dark future of night city — a dangerous megalopolis obsessed with power, glamor, and ceaseless body modification.","['cyberpunk', 'open world', 'nudity', 'rpg', 'singleplayer', 'sci-fi', 'futuristic', 'fps', 'mature', 'story rich', 'first-person', 'atmospheric', 'exploration', 'action', 'violent', 'great soundtrack', 'action rpg', 'adventure', 'character customization', 'immersive sim']",2020-12-10,['CD PROJEKT RED'],['CD PROJEKT RED'],4.0,2020.0,0.8
ELDEN RING,"the critically acclaimed fantasy action rpg. rise, tarnished, and be guided by grace to brandish the power of the elden ring and become an elden lord in the lands between.","['souls-like', 'dark fantasy', 'open world', 'rpg', 'difficult', 'action rpg', 'third person', 'multiplayer', 'fantasy', 'singleplayer', 'online co-op', 'action', 'co-op', 'pvp', 'atmospheric', 'great soundtrack', 'violent', '3d', 'character customization', 'family friendly']",2022-02-25,"['FromSoftware, Inc.']","['FromSoftware, Inc.', 'Bandai Namco Entertainment']",4.0,2022.0,0.8
PUBG: BATTLEGROUNDS,"play pubg: battlegrounds for free. land on strategic locations, loot weapons and supplies, and survive to become the last team standing across various, diverse battlegrounds. squad up and join the battlegrounds for the original battle royale experience that only pubg: battlegrounds can offer.","['survival', 'shooter', 'battle royale', 'multiplayer', 'fps', 'pvp', 'third-person shooter', 'action', 'online co-op', 'tactical', 'co-op', 'first-person', 'strategy', 'early access', 'competitive', 'third person', 'team-based', 'difficult', 'simulation', 'stealth']",2017-12-21,['PUBG Corporation'],"['KRAFTON, Inc.']",2.0,2017.0,0.4
Apex Legends™,"apex legends is the award-winning, free-to-play hero shooter from respawn entertainment. master an ever-growing roster of legendary characters with powerful abilities, and experience strategic squad play and innovative gameplay in the next evolution of hero shooter and battle royale.","['free to play', 'battle royale', 'multiplayer', 'fps', 'shooter', 'first-person', 'pvp', 'action', 'hero shooter', 'team-based', 'tactical', 'sci-fi', 'survival', 'loot', 'character customization', 'funny', 'co-op', 'lore-rich', 'cyberpunk', 'cinematic']",2020-11-04,['Respawn'],['Electronic Arts'],2.0,2020.0,0.4
Dota 2,"every day, millions of players worldwide enter battle as one of over a hundred dota heroes. and no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. with regular updates that ensure a constant evolution of gameplay, features, and heroes, dota 2 has taken on a life of its own.","['free to play', 'moba', 'multiplayer', 'strategy', 'esports', 'team-based', 'competitive', 'action', 'online co-op', 'pvp', 'difficult', 'co-op', 'rts', 'rpg', 'tower defense', 'fantasy', 'character customization', 'replay value', 'action rpg', 'simulation']",2013-07-09,['Valve'],['Valve'],4.0,2013.0,0.8
Party Animals,"fight your friends as puppies, kittens and other fuzzy creatures in party animals! paw it out with your friends remotely, or huddle together for chaotic fun on the same screen. interact with the world under our realistic physics engine. did i mention puppies?","['casual', 'multiplayer', 'funny', 'cute', 'party game', 'fighting', 'action', 'pvp', 'co-op', 'party', 'family friendly', 'online co-op', 'local multiplayer', 'physics', '3d fighter', '4 player local', 'indie', 'local co-op', 'team-based', 'action-adventure']",2023-09-20,['Recreate Games'],['Source Technology'],3.0,2023.0,0.6000000000000001
Total War: WARHAMMER III,"the cataclysmic conclusion to the total war: warhammer trilogy is here. rally your forces and step into the realm of chaos, a dimension of mind-bending horror where the very fate of the world will be decided. will you conquer your daemons… or command them?","['strategy', 'turn-based strategy', 'grand strategy', 'rts', 'fantasy', 'real time tactics', 'war', 'dark fantasy', 'action', 'tactical', 'atmospheric', 'dwarf', 'games workshop', 'multiplayer', 'colorful', 'co-op', 'pvp', 'singleplayer', 'story rich', 'online co-op']",2022-02-16,"['CREATIVE ASSEMBLY', 'Feral Interactive']","['SEGA', 'Feral Interactive']",2.0,2022.0,0.4
Cyberpunk 2077: Phantom Liberty,no description available,"['rpg', 'sexual content', 'cyberpunk', 'open world', 'story rich', 'nudity', 'violent', 'gore', 'atmospheric', 'singleplayer', 'first-person', 'fps', 'character customization', 'action rpg', 'action', 'choices matter', 'shooter', 'horror', 'great soundtrack', 'stealth']",2023-09-26,['CD PROJEKT RED'],['CD PROJEKT RED'],4.0,2023.0,0.8
Once Human,"once human is a multiplayer open-world survival game set in a strange, post-apocalyptic future. unite with friends to fight monstrous enemies, uncover secret plots, compete for resources, and build your own territory. once, you were merely human. now, you have the power to remake the world.","['survival', 'open world', 'multiplayer', 'free to play', 'co-op', 'shooter', 'horror', 'post-apocalyptic', 'base building', 'action', 'adventure', 'strategy', '3d', 'rpg', 'simulation', 'mmorpg', 'action-adventure', 'pvp', 'singleplayer', 'strategy rpg']",2024-07-09,['Starry Studio'],['Starry Studio'],3.0,2024.0,0.6000000000000001
NARAKA: BLADEPOINT,"dive into the legends of the far east in naraka: bladepoint; team up with friends in fast-paced melee fights for a battle royale experience unlike any other. find your playstyle with a varied cast of heroes with unique skills. more than 20 million players have already joined the fray, play free now!","['battle royale', 'multiplayer', 'martial arts', 'pvp', 'action', 'female protagonist', 'character customization', 'massively multiplayer', 'fighting', 'survival', 'third person', 'swordplay', 'hack and slash', 'anime', 'parkour', 'adventure', 'mature', 'free to play', 'violent', 'gore']",2021-08-11,['24 Entertainment'],['NetEase Games Global'],3.0,2021.0,0.6000000000000001
Warframe,awaken as an unstoppable warrior and battle alongside your friends in this story-driven free-to-play online action game,"['free to play', 'action rpg', 'looter shooter', 'third-person shooter', 'action', 'rpg', 'third person', 'character customization', 'massively multiplayer', 'online co-op', 'co-op', 'singleplayer', 'pve', 'sci-fi', 'space', 'lore-rich', 'shooter', 'hack and slash', 'parkour', 'ninja']",2013-03-25,['Digital Extremes'],['Digital Extremes'],4.0,2013.0,0.8
Grounded,"the world is a vast, beautiful and dangerous place – especially when you have been shrunk to the size of an ant. can you thrive alongside the hordes of giant insects, fighting to survive the perils of the backyard?","['survival', 'multiplayer', 'co-op', 'open world survival craft', 'base building', 'crafting', 'adventure', 'open world', 'horror', 'online co-op', 'exploration', 'action', 'sandbox', 'first-person', 'singleplayer', 'rpg', 'third person', 'cute', 'early access', 'funny']",2022-09-27,['Obsidian Entertainment'],['Xbox Game Studios'],4.0,2022.0,0.8
Tom Clancy's Rainbow Six® Siege,"tom clancy's rainbow six® siege is an elite, tactical team-based shooter where superior planning and execution triumph.","['fps', 'pvp', 'esports', 'multiplayer', 'shooter', 'tactical', 'competitive', 'online co-op', 'action', 'hero shooter', 'team-based', 'military', 'strategy', 'first-person', 'war', 'co-op', 'realistic', 'destruction', 'difficult', '3d']",2015-12-01,['Ubisoft Montreal'],['Ubisoft'],4.0,2015.0,0.8
